anzsco_code,occupation_title,skill_level,mltssl,stsol,rol,csol,assessing_authority,validity_years,additional_info,alternate_titles
121111,Aquaculture Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Aquaculture Farm Manager
121211,Cotton Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121213,Fruit or Nut Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121214,"Grain, Oilseed or Pasture Grower / Field Crop Grower",1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121216,Mixed Crop Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121217,Sugar Cane Grower,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121299,Crop Farmers nec,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121312,Beef Cattle Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Beef Cattle Farm Manager, Beef Cattle Grazier"
121313,Dairy Cattle Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Dairy Cattle Farm Manager
121314,Deer Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121315,Goat Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121316,Horse Breeder,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Horse Stud Manager
121317,Mixed Livestock Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121318,Pig Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Pig Farm Manager
121322,Sheep Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Sheep Farm Manager
121399,Livestock Farmers nec,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
121411,Mixed Crop and Livestock Farmer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
131114,Public Relations Manager,1,No,No,Yes,No,IML,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Communications Manager, Corporate Affairs Manager, Corporate Relations Manager, PR Manager, Public Affairs Manager"
132411,Policy and Planning Manager,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Public Policy Manager
133112,Project Builder,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Professional Builder
133612,Procurement Manager,1,No,No,Yes,No,IML,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Purchasing Manager
134211,Medical Administrator / Medical Superintendent,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Medical Manager
134412,Regional Education Manager,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
139915,Sports Administrator,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
141211,Caravan Park and Camping Ground Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
142115,Post Office Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
149111,Amusement Centre Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Entertainment Centre Manager
149112,Fitness Centre Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
149113,Sports Centre Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
149912,Cinema or Theatre Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
149914,Financial Institution Branch Manager,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
223111,Human Resource Adviser,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Human Resource Consultant
223113,Workplace Relations Adviser,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
224412,Policy Analyst,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Policy Adviser
224912,Liaison Officer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
225112,Market Research Analyst,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
231111,Aeroplane Pilot,1,No,No,Yes,No,CASA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
231113,Flying Instructor,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
231114,Helicopter Pilot,1,No,No,Yes,No,CASA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
231213,Ship's Master,2,No,No,Yes,No,AMSA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Ship's Captain
232413,Multimedia Designer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Digital Media Designer, Interactive Media Designer"
234213,Wine Maker,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Oenologist
234311,Conservation Officer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
234915,Exercise Physiologist,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
242211,Vocational Education Teacher / Polytechnic Teacher,1,No,No,Yes,No,"VETASSESS, TRA",,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
251311,Environmental Health Officer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
252312,Dentist,1,No,No,Yes,No,ADC,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Dental Practitioner, Dental Surgeon"
253211,Anaesthetist,1,No,No,Yes,No,MedBA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
271214,Intellectual Property Lawyer,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
272413,Translator,1,No,No,Yes,No,NAATI,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
272611,Community Arts Worker,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Community Artist, Community Arts Officer"
311111,Agricultural Technician,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
311214,Operating Theatre Technician,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
311216,Pathology Collector / Phlebotomist,3,No,No,Yes,No,AIMS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Specimen Collector
312114,Construction Estimator,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Building Estimator
312116,Surveying or Spatial Science Technician,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,GIS Technician
312511,Mechanical Engineering Draftsperson,2,No,No,Yes,No,EA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
312611,Safety Inspector,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
312911,Maintenance Planner,2,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Maintenance Scheduler, Shutdown Coordinator, Shutdown Planner"
312999,Building and Engineering Technicians nec,2,No,No,Yes,No,"EA, VETASSESS",,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
324311,Vehicle Painter,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Vehicle Refinisher
332111,Floor Finisher,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
342211,Electrical Linesworker / Electrical Line Mechanic,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
361114,Zookeeper,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
362411,Nurseryperson,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
399212,Gas or Petroleum Operator,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Oil and Gas Well Treatment Operator, Oil, Gas and Pipe Tester, Petroleum and Gas Refining and Pumping Operator"
411211,Dental Hygienist,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
411214,Dental Therapist,1,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
441211,Emergency Service Worker,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Emergency Response Officer
451211,Driving Instructor,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
451399,Funeral Workers nec,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
451711,Flight Attendant,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,Cabin Crew
451815,First Aid Trainer,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,First Aid Instructor
452413,Jockey,3,No,No,Yes,No,TRA,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
599915,Clinical Coder,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
612112,Property Manager,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,
612115,Real Estate Representative,3,No,No,Yes,No,VETASSESS,,Requires state/territory nomination or regional employer sponsorship. Applicant must commit to living and working in a designated regional area.,"Real Estate Salesperson, Real Estate Subagent"
